order_id,customer_id,order_date,product_id,category,quantity,price
100,468,2023-03-22,87,Accessories,3,291.88
101,3,2023-03-19,62,Electronics,2,361.8
102,298,2023-02-01,98,Groceries,1,73.47
103,407,2023-03-26,75,Furniture,4,168.76
104,96,2023-01-04,95,Groceries,2,167.63
105,116,2023-01-17,92,Groceries,2,215.22
106,210,2023-02-04,90,Accessories,3,352.16
107,383,2023-01-18,82,Groceries,4,416.99
108,103,2023-02-10,90,Groceries,3,91.9
109,360,2023-02-24,62,Furniture,1,416.29
110,56,2023-02-22,85,Accessories,2,128.25
111,35,2023-01-13,83,Clothing,4,319.94
112,373,2023-03-21,71,Accessories,2,412.19
113,284,2023-03-21,93,Groceries,5,50.29
114,1,2023-03-26,89,Accessories,4,73.0
115,318,2023-03-24,59,Electronics,2,286.34
116,35,2023-01-24,82,Furniture,4,476.68
117,116,2023-03-19,89,Electronics,2,328.12
118,225,2023-02-12,96,Groceries,5,451.67
119,88,2023-02-05,54,Clothing,5,291.08
120,262,2023-01-18,50,Furniture,1,221.28
121,33,2023-02-07,54,Electronics,3,406.07
122,384,2023-01-26,67,Furniture,2,62.11
123,363,2023-03-10,81,Clothing,5,254.26
124,161,2023-01-11,63,Furniture,5,47.18
125,246,2023-03-21,91,Clothing,5,84.59
126,369,2023-02-15,95,Furniture,4,461.1
127,476,2023-03-27,96,Clothing,4,309.23
128,106,2023-01-25,83,Accessories,4,105.59
129,205,2023-01-09,99,Clothing,2,132.49
130,389,2023-01-27,82,Groceries,2,290.08
131,165,2023-01-12,96,Furniture,1,141.64
132,338,2023-02-06,91,Groceries,5,323.27
133,345,2023-01-01,81,Furniture,5,213.22
134,335,2023-01-17,72,Groceries,4,142.75
135,314,2023-01-20,85,Clothing,2,471.39
136,328,2023-03-26,91,Accessories,1,273.25
137,366,2023-03-01,50,Accessories,1,116.25
138,350,2023-03-23,67,Accessories,3,163.64
139,83,2023-02-26,71,Electronics,3,354.18
140,222,2023-02-19,90,Furniture,2,10.54
141,470,2023-03-04,59,Furniture,4,162.92
142,460,2023-03-01,65,Groceries,1,66.19
143,138,2023-03-13,66,Electronics,2,239.4
144,315,2023-01-08,61,Accessories,4,18.05
145,255,2023-01-16,61,Accessories,3,409.88
146,448,2023-03-22,74,Electronics,1,213.96
147,494,2023-01-07,53,Electronics,3,206.18
148,306,2023-03-26,95,Groceries,1,24.23
149,100,2023-03-31,51,Furniture,5,253.53
150,118,2023-03-27,62,Accessories,3,236.77
151,441,2023-03-17,51,Clothing,3,104.06
152,202,2023-03-24,87,Accessories,4,266.95
153,387,2023-02-15,61,Groceries,2,156.86
154,151,2023-02-26,67,Electronics,4,424.27
155,42,2023-02-26,89,Electronics,3,483.32
156,401,2023-03-18,59,Accessories,5,277.4
